NAME,MODEL,MYCT,MMIN,MMAX,MAVG,CACH,CHMIN,CHMAX,CHAVG,PRP,ERP
adviser,32/60,125,256,6000,3128,256,16,128,72.00,198,199
amdahl,470v/7,29,8000,32000,20000,32,8,32,20.00,269,253
amdahl,470v/7a,29,8000,32000,20000,32,8,32,20.00,220,253
amdahl,470v/7b,29,8000,32000,20000,32,8,32,20.00,172,253
amdahl,470v/7c,29,8000,16000,12000,32,8,16,12.00,132,132
amdahl,470v/b,26,8000,32000,20000,64,8,32,20.00,318,290
amdahl,580-5840,23,16000,32000,24000,64,16,32,24.00,367,381
amdahl,580-5850,23,16000,32000,24000,64,16,32,24.00,489,381
amdahl,580-5860,23,16000,64000,40000,64,16,32,24.00,636,749
amdahl,580-5880,23,32000,64000,48000,128,32,64,48.00,1144,1238
apollo,dn320,400,1000,3000,2000,0,1,2,1.50,38,23
apollo,dn420,400,512,3500,2006,4,1,6,3.50,40,24
basf,7/65,60,2000,8000,5000,65,1,8,4.50,92,70
basf,7/68,50,4000,16000,10000,65,1,8,4.50,138,117
bti,5000,350,64,64,64,0,1,4,2.50,10,15
bti,8000,200,512,16000,8256,0,4,32,18.00,35,64
burroughs,b1955,167,524,2000,1262,8,4,15,9.50,19,23
burroughs,b2900,143,512,5000,2756,0,7,32,19.50,28,29
burroughs,b2925,143,1000,2000,1500,0,5,16,10.50,31,22
burroughs,b4955,110,5000,5000,5000,142,8,64,36.00,120,124
burroughs,b5900,143,1500,6300,3900,0,5,32,18.50,30,35
burroughs,b5920,143,3100,6200,4650,0,5,20,12.50,33,39
burroughs,b6900,143,2300,6200,4250,0,6,64,35.00,61,40
burroughs,b6925,110,3100,6200,4650,0,6,64,35.00,76,45
c.r.d,68/10-80,320,128,6000,3064,0,1,12,6.50,23,28
c.r.d,universe:2203t,320,512,2000,1256,4,1,3,2.00,69,21
c.r.d,universe:68,320,256,6000,3128,0,1,6,3.50,33,28
c.r.d,universe:68/05,320,256,3000,1628,4,1,3,2.00,27,22
c.r.d,universe:68/137,320,512,5000,2756,4,1,5,3.00,77,28
c.r.d,universe:68/37,320,256,5000,2628,4,1,6,3.50,27,27
cdc,cyber:170/750,25,1310,2620,1965,131,12,24,18.00,274,102
cdc,cyber:170/760,25,1310,2620,1965,131,12,24,18.00,368,102
cdc,cyber:170/815,50,2620,10480,6550,30,12,24,18.00,32,74
cdc,cyber:170/825,50,2620,10480,6550,30,12,24,18.00,63,74
cdc,cyber:170/835,56,5240,20970,13105,30,12,24,18.00,106,138
cdc,cyber:170/845,64,5240,20970,13105,30,12,24,18.00,208,136
cdc,omega:480-i,50,500,2000,1250,8,1,4,2.50,20,23
cdc,omega:480-ii,50,1000,4000,2500,8,1,5,3.00,29,29
cdc,omega:480-iii,50,2000,8000,5000,8,1,5,3.00,71,44
cambex,1636-1,50,1000,4000,2500,8,3,5,4.00,26,30
cambex,1636-10,50,1000,8000,4500,8,3,5,4.00,36,41
cambex,1641-1,50,2000,16000,9000,8,3,5,4.00,40,74
cambex,1641-11,50,2000,16000,9000,8,3,6,4.50,52,74
cambex,1651-1,50,2000,16000,9000,8,3,6,4.50,60,74
dec,decsys:10:1091,133,1000,12000,6500,9,3,12,7.50,72,54
dec,decsys:20:2060,133,1000,8000,4500,9,3,12,7.50,72,41
dec,microvax-1,810,512,512,512,8,1,1,1.00,18,18
dec,vax:11/730,810,1000,5000,3000,0,1,1,1.00,20,28
dec,vax:11/750,320,512,8000,4256,4,1,5,3.00,40,36
dec,vax:11/780,200,512,8000,4256,8,1,8,4.50,62,38
dg,eclipse:c/350,700,384,8000,4192,0,1,1,1.00,24,34
dg,eclipse:m/600,700,256,2000,1128,0,1,1,1.00,24,19
dg,eclipse:mv/10000,140,1000,16000,8500,16,1,3,2.00,138,72
dg,eclipse:mv/4000,200,1000,8000,4500,0,1,2,1.50,36,36
dg,eclipse:mv/6000,110,1000,4000,2500,16,1,2,1.50,26,30
dg,eclipse:mv/8000,110,1000,12000,6500,16,1,2,1.50,60,56
dg,eclipse:mv/8000-ii,220,1000,8000,4500,16,1,2,1.50,71,42
formation,f4000/100,800,256,8000,4128,0,1,4,2.50,12,34
formation,f4000/200,800,256,8000,4128,0,1,4,2.50,14,34
formation,f4000/200ap,800,256,8000,4128,0,1,4,2.50,20,34
formation,f4000/300,800,256,8000,4128,0,1,4,2.50,16,34
formation,f4000/300ap,800,256,8000,4128,0,1,4,2.50,22,34
four-phase,2000/260,125,512,1000,756,0,8,20,14.00,36,19
gould,concept:32/8705,75,2000,8000,5000,64,1,38,19.50,144,75
gould,concept:32/8750,75,2000,16000,9000,64,1,38,19.50,144,113
gould,concept:32/8780,75,2000,16000,9000,128,1,38,19.50,259,157
hp,3000/30,90,256,1000,628,0,3,10,6.50,17,18
hp,3000/40,105,256,2000,1128,0,3,10,6.50,26,20
hp,3000/44,105,1000,4000,2500,0,3,24,13.50,32,28
hp,3000/48,105,2000,4000,3000,8,3,19,11.00,32,33
hp,3000/64,75,2000,8000,5000,8,3,24,13.50,62,47
hp,3000/88,75,3000,8000,5500,8,3,48,25.50,64,54
hp,3000/iii,175,256,2000,1128,0,3,24,13.50,22,20
harris,100,300,768,3000,1884,0,6,24,15.00,36,23
harris,300,300,768,3000,1884,6,6,24,15.00,44,25
harris,500,300,768,12000,6384,6,6,24,15.00,50,52
harris,600,300,768,4500,2634,0,1,24,12.50,45,27
harris,700,300,384,12000,6192,6,1,24,12.50,53,50
harris,80,300,192,768,480,6,6,24,15.00,36,18
harris,800,180,768,12000,6384,6,1,31,16.00,84,53
honeywell,dps:6/35,330,1000,3000,2000,0,2,4,3.00,16,23
honeywell,dps:6/92,300,1000,4000,2500,8,3,64,33.50,38,30
honeywell,dps:6/96,300,1000,16000,8500,8,2,112,57.00,38,73
honeywell,dps:7/35,330,1000,2000,1500,0,1,2,1.50,16,20
honeywell,dps:7/45,330,1000,4000,2500,0,3,6,4.50,22,25
honeywell,dps:7/55,140,2000,4000,3000,0,3,6,4.50,29,28
honeywell,dps:7/65,140,2000,4000,3000,0,4,8,6.00,40,29
honeywell,dps:8/44,140,2000,4000,3000,8,1,20,10.50,35,32
honeywell,dps:8/49,140,2000,32000,17000,32,1,20,10.50,134,175
honeywell,dps:8/50,140,2000,8000,5000,32,1,54,27.50,66,57
honeywell,dps:8/52,140,2000,32000,17000,32,1,54,27.50,141,181
honeywell,dps:8/62,140,2000,32000,17000,32,1,54,27.50,189,181
honeywell,dps:8/20,140,2000,4000,3000,8,1,20,10.50,22,32
ibm,3033:s,57,4000,16000,10000,1,6,12,9.00,132,82
ibm,3033:u,57,4000,24000,14000,64,12,16,14.00,237,171
ibm,3081,26,16000,32000,24000,64,16,24,20.00,465,361
ibm,3081:d,26,16000,32000,24000,64,8,24,16.00,465,350
ibm,3083:b,26,8000,32000,20000,0,8,24,16.00,277,220
ibm,3083:e,26,8000,16000,12000,0,8,16,12.00,185,113
ibm,370/125-2,480,96,512,304,0,1,1,1.00,6,15
ibm,370/148,203,1000,2000,1500,0,1,5,3.00,24,21
ibm,370/158-3,115,512,6000,3256,16,1,6,3.50,45,35
ibm,38/3,1100,512,1500,1006,0,1,1,1.00,7,18
ibm,38/4,1100,768,2000,1384,0,1,1,1.00,13,20
ibm,38/5,600,768,2000,1384,0,1,1,1.00,16,20
ibm,38/7,400,2000,4000,3000,0,1,1,1.00,32,28
ibm,38/8,400,4000,8000,6000,0,1,1,1.00,32,45
ibm,4321,900,1000,1000,1000,0,1,2,1.50,11,18
ibm,4331-1,900,512,1000,756,0,1,2,1.50,11,17
ibm,4331-11,900,1000,4000,2500,4,1,2,1.50,18,26
ibm,4331-2,900,1000,4000,2500,8,1,2,1.50,22,28
ibm,4341,900,2000,4000,3000,0,3,6,4.50,37,28
ibm,4341-1,225,2000,4000,3000,8,3,6,4.50,40,31
ibm,4341-10,225,2000,4000,3000,8,3,6,4.50,34,31
ibm,4341-11,180,2000,8000,5000,8,1,6,3.50,50,42
ibm,4341-12,185,2000,16000,9000,16,1,6,3.50,76,76
ibm,4341-2,180,2000,16000,9000,16,1,6,3.50,66,76
ibm,4341-9,225,1000,4000,2500,2,3,6,4.50,24,26
ibm,4361-4,25,2000,12000,7000,8,1,4,2.50,49,59
ibm,4361-5,25,2000,12000,7000,16,3,5,4.00,66,65
ibm,4381-1,17,4000,16000,10000,8,6,12,9.00,100,101
ibm,4381-2,17,4000,16000,10000,32,6,12,9.00,133,116
ibm,8130-a,1500,768,1000,884,0,0,0,0.00,12,18
ibm,8130-b,1500,768,2000,1384,0,0,0,0.00,18,20
ibm,8140,800,768,2000,1384,0,0,0,0.00,20,20
ipl,4436,50,2000,4000,3000,0,3,6,4.50,27,30
ipl,4443,50,2000,8000,5000,8,3,6,4.50,45,44
ipl,4445,50,2000,8000,5000,8,1,6,3.50,56,44
ipl,4446,50,2000,16000,9000,24,1,6,3.50,70,82
ipl,4460,50,2000,16000,9000,24,1,6,3.50,80,82
ipl,4480,50,8000,16000,12000,48,1,10,5.50,136,128
magnuson,m80/30,100,1000,8000,4500,0,2,6,4.00,16,37
magnuson,m80/31,100,1000,8000,4500,24,2,6,4.00,26,46
magnuson,m80/32,100,1000,8000,4500,24,3,6,4.50,32,46
magnuson,m80/42,50,2000,16000,9000,12,3,16,9.50,45,80
magnuson,m80/43,50,2000,16000,9000,24,6,16,11.00,54,88
magnuson,m80/44,50,2000,16000,9000,24,6,16,11.00,65,88
microdata,seq.ms/3200,150,512,4000,2256,0,8,128,68.00,30,33
nas,as/3000,115,2000,8000,5000,16,1,3,2.00,50,46
nas,as/3000-n,115,2000,4000,3000,2,1,5,3.00,40,29
nas,as/5000,92,2000,8000,5000,32,1,6,3.50,62,53
nas,as/5000-e,92,2000,8000,5000,32,1,6,3.50,60,53
nas,as/5000-n,92,2000,8000,5000,4,1,6,3.50,50,41
nas,as/6130,75,4000,16000,10000,16,1,6,3.50,66,86
nas,as/6150,60,4000,16000,10000,32,1,6,3.50,86,95
nas,as/6620,60,2000,16000,9000,64,5,8,6.50,74,107
nas,as/6630,60,4000,16000,10000,64,5,8,6.50,93,117
nas,as/6650,50,4000,16000,10000,64,5,10,7.50,111,119
nas,as/7000,72,4000,16000,10000,64,8,16,12.00,143,120
nas,as/7000-n,72,2000,8000,5000,16,6,8,7.00,105,48
nas,as/8040,40,8000,16000,12000,32,8,16,12.00,214,126
nas,as/8050,40,8000,32000,20000,64,8,24,16.00,277,266
nas,as/8060,35,8000,32000,20000,64,8,24,16.00,370,270
nas,as/9000-dpc,38,16000,32000,24000,128,16,32,24.00,510,426
nas,as/9000-n,48,4000,24000,14000,32,8,24,16.00,214,151
nas,as/9040,38,8000,32000,20000,64,8,24,16.00,326,267
nas,as/9060,30,16000,32000,24000,256,16,24,20.00,510,603
ncr,v8535:ii,112,1000,1000,1000,0,1,4,2.50,8,19
ncr,v8545:ii,84,1000,2000,1500,0,1,6,3.50,12,21
ncr,v8555:ii,56,1000,4000,2500,0,1,6,3.50,17,26
ncr,v8565:ii,56,2000,6000,4000,0,1,8,4.50,21,35
ncr,v8565:ii-e,56,2000,8000,5000,0,1,8,4.50,24,41
ncr,v8575:ii,56,4000,8000,6000,0,1,8,4.50,34,47
ncr,v8585:ii,56,4000,12000,8000,0,1,8,4.50,42,62
ncr,v8595:ii,56,4000,16000,10000,0,1,8,4.50,46,78
ncr,v8635,38,4000,8000,6000,32,16,32,24.00,51,80
ncr,v8650,38,4000,8000,6000,32,16,32,24.00,116,80
ncr,v8655,38,8000,16000,12000,64,4,8,6.00,100,142
ncr,v8665,38,8000,24000,16000,160,4,8,6.00,140,281
ncr,v8670,38,4000,16000,10000,128,16,32,24.00,212,190
nixdorf,8890/30,200,1000,2000,1500,0,1,2,1.50,25,21
nixdorf,8890/50,200,1000,4000,2500,0,1,4,2.50,30,25
nixdorf,8890/70,200,2000,8000,5000,64,1,5,3.00,41,67
perkin-elmer,3205,250,512,4000,2256,0,1,7,4.00,25,24
perkin-elmer,3210,250,512,4000,2256,0,4,7,5.50,50,24
perkin-elmer,3230,250,1000,16000,8500,1,1,8,4.50,50,64
prime,50-2250,160,512,4000,2256,2,1,5,3.00,30,25
prime,50-250-ii,160,512,2000,1256,2,3,8,5.50,32,20
prime,50-550-ii,160,1000,4000,2500,8,1,14,7.50,38,29
prime,50-750-ii,160,1000,8000,4500,16,1,14,7.50,60,43
prime,50-850-ii,160,2000,8000,5000,32,1,13,7.00,109,53
siemens,7.521,240,512,1000,756,8,1,3,2.00,6,19
siemens,7.531,240,512,2000,1256,8,1,5,3.00,11,22
siemens,7.536,105,2000,4000,3000,8,3,8,5.50,22,31
siemens,7.541,105,2000,6000,4000,16,6,16,11.00,33,41
siemens,7.551,105,2000,8000,5000,16,4,14,9.00,58,47
siemens,7.561,52,4000,16000,10000,32,4,12,8.00,130,99
siemens,7.865-2,70,4000,12000,8000,8,6,8,7.00,75,67
siemens,7.870-2,59,4000,12000,8000,32,6,12,9.00,113,81
siemens,7.872-2,59,8000,16000,12000,64,12,24,18.00,188,149
siemens,7.875-2,26,8000,24000,16000,32,8,16,12.00,173,183
siemens,7.880-2,26,8000,32000,20000,64,12,16,14.00,248,275
siemens,7.881-2,26,8000,32000,20000,128,24,32,28.00,405,382
sperry,1100/61-h1,116,2000,8000,5000,32,5,28,16.50,70,56
sperry,1100/81,50,2000,32000,17000,24,6,26,16.00,114,182
sperry,1100/82,50,2000,32000,17000,48,26,52,39.00,208,227
sperry,1100/83,50,2000,32000,17000,112,52,104,78.00,307,341
sperry,1100/84,50,4000,32000,18000,112,52,104,78.00,397,360
sperry,1100/93,30,8000,64000,36000,96,12,176,94.00,915,919
sperry,1100/94,30,8000,64000,36000,128,12,176,94.00,1150,978
sperry,80/3,180,262,4000,2131,0,1,3,2.00,12,24
sperry,80/4,180,512,4000,2256,0,1,3,2.00,14,24
sperry,80/5,180,262,4000,2131,0,1,3,2.00,18,24
sperry,80/6,180,512,4000,2256,0,1,3,2.00,21,24
sperry,80/8,124,1000,8000,4500,0,1,8,4.50,42,37
sperry,90/80-model-3,98,1000,8000,4500,32,2,8,5.00,46,50
sratus,32,125,2000,8000,5000,0,2,14,8.00,52,41
wang,vs-100,480,512,8000,4256,32,0,0,0.00,67,47
wang,vs-90,480,1000,4000,2500,0,0,0,0.00,45,25